央视,#genre#
山东卫视,http://123.163.55.234:9901/tsfile/live/0131_1.m3u8
湖北卫视,http://123.163.55.234:9901/tsfile/live/0132_1.m3u8
黑龙江卫视,http://123.163.55.234:9901/tsfile/live/0143_1.m3u8
广西卫视,http://123.163.55.234:9901/tsfile/live/0113_1.m3u8
贵州卫视,http://123.163.55.234:9901/tsfile/live/0120_1.m3u8
陕西卫视,http://123.163.55.234:9901/tsfile/live/0136_1.m3u8
云南卫视,http://123.163.55.234:9901/tsfile/live/0119_1.m3u8
河北卫视,http://123.163.55.234:9901/tsfile/live/0117_1.m3u8
吉林卫视,http://123.163.55.234:9901/tsfile/live/0116_1.m3u8
青海卫视,http://123.163.55.234:9901/tsfile/live/0140_1.m3u8
甘肃卫视,http://123.163.55.234:9901/tsfile/live/0141_1.m3u8
浙江卫视,http://220.188.216.81:9999/rtp/233.50.201.100:5140
深圳卫视,http://220.188.216.81:9999/rtp/233.50.201.101:5140
广东卫视,http://220.188.216.81:9999/rtp/233.50.201.102:5140
湖南卫视,http://220.188.216.81:9999/rtp/233.50.201.103:5140
天津卫视,http://220.188.216.81:9999/rtp/233.50.201.104:5140
山东卫视,http://220.188.216.81:9999/rtp/233.50.201.105:5140
江苏卫视,http://220.188.216.81:9999/rtp/233.50.201.106:5140
北京卫视,http://220.188.216.81:9999/rtp/233.50.201.107:5140
四川卫视,http://220.188.216.81:9999/rtp/233.50.201.139:5140
河北卫视,http://220.188.216.81:9999/rtp/233.50.201.140:5140
辽宁卫视,http://220.188.216.81:9999/rtp/233.50.201.141:5140
贵州卫视,http://220.188.216.81:9999/rtp/233.50.201.142:5140
重庆卫视,http://220.188.216.81:9999/rtp/233.50.201.143:5140
河南卫视,http://220.188.216.81:9999/rtp/233.50.201.144:5140
江西卫视,http://220.188.216.81:9999/rtp/233.50.201.145:5140
东南卫视,http://220.188.216.81:9999/rtp/233.50.201.146:5140
安徽卫视,http://220.188.216.81:9999/rtp/233.50.201.113:5140
湖北卫视,http://220.188.216.81:9999/rtp/233.50.201.114:5140
黑龙江卫视,http://220.188.216.81:9999/rtp/233.50.201.115:5140
东方卫视,http://220.188.216.81:9999/rtp/233.50.201.125:5140
内蒙古卫视,http://220.188.216.81:9999/rtp/233.50.201.148:5140
甘肃卫视,http://220.188.216.81:9999/rtp/233.50.201.149:5140
海南卫视,http://220.188.216.81:9999/rtp/233.50.201.55:5140
青海卫视,http://220.188.216.81:9999/rtp/233.50.201.65:5140
西藏卫视,http://220.188.216.81:9999/rtp/233.50.201.70:5140
陕西卫视,http://220.188.216.81:9999/rtp/233.50.201.59:5140
兵团卫视,http://220.188.216.81:9999/rtp/233.50.201.72:5140
山西卫视,http://220.188.216.81:9999/rtp/233.50.201.51:5140
宁夏卫视,http://220.188.216.81:9999/rtp/233.50.201.57:5140
广西卫视,http://220.188.216.81:9999/rtp/233.50.201.49:5140
云南卫视,http://220.188.216.81:9999/rtp/233.50.201.46:5140
